,Date,FGM,CLOSE_DEF_DIST
92540,2015-01-15,1,3.0
92541,2015-01-15,1,3.5
92542,2015-01-15,0,6.8
92543,2015-01-15,1,3.2
92544,2015-01-15,1,3.2
92545,2015-01-15,1,3.2
92546,2015-01-15,1,3.6
92547,2015-01-15,0,2.2
92548,2015-01-15,0,4.0
92549,2015-01-15,1,3.0
92550,2015-01-15,0,1.9
92551,2015-01-15,0,3.7
92552,2015-01-14,0,3.0
92553,2015-01-14,1,4.5
92554,2015-01-14,1,2.4
92555,2015-01-14,1,2.5
92556,2015-01-14,1,3.5
92557,2015-01-14,1,6.3
92558,2015-01-14,1,1.3
92559,2015-01-14,0,4.0
92560,2015-01-14,1,2.9
92561,2015-01-14,0,2.3
92562,2015-01-14,1,3.9
92563,2015-01-14,1,2.9
92564,2015-01-14,1,2.6
92565,2015-01-14,0,1.7
92566,2015-01-14,0,2.4
92567,2015-01-14,0,2.7
92568,2015-01-12,1,4.2
92569,2015-01-12,1,3.4
92570,2015-01-12,1,3.5
92571,2015-01-12,1,3.2
92572,2015-01-12,0,4.2
92573,2015-01-12,1,1.9
92574,2015-01-12,1,3.7
92575,2015-01-12,1,3.5
92576,2015-01-12,0,6.1
92577,2015-01-12,0,4.7
92578,2015-01-12,1,4.6
92579,2015-01-12,1,4.0
92580,2015-01-12,0,0.8
92581,2015-01-10,1,2.9
92582,2015-01-10,0,3.7
92583,2015-01-10,1,1.9
92584,2015-01-10,0,5.0
92585,2015-01-10,0,6.4
92586,2015-01-10,1,3.4
92587,2015-01-10,1,6.4
92588,2015-01-10,1,2.9
92589,2015-01-10,0,3.0
92590,2015-01-10,1,3.7
92591,2015-01-10,1,5.4
92592,2015-01-10,1,6.4
92593,2015-01-10,0,5.1
92594,2015-01-10,0,4.3
92595,2015-01-08,0,3.5
92596,2015-01-08,1,4.0
92597,2015-01-08,1,3.2
92598,2015-01-08,1,5.5
92599,2015-01-08,1,6.4
92600,2015-01-08,0,2.7
92601,2015-01-08,0,1.9
92602,2015-01-08,0,5.4
92603,2015-01-08,1,4.2
92604,2015-01-08,0,4.8
92605,2015-01-08,1,4.4
92606,2015-01-08,1,5.4
92607,2015-01-08,0,4.2
92608,2015-01-08,0,0.6
92609,2015-01-08,1,7.7
92610,2015-01-08,0,3.0
92611,2015-01-08,0,3.7
92612,2015-01-07,0,2.9
92613,2015-01-07,0,0.8
92614,2015-01-07,1,4.7
92615,2015-01-07,0,2.8
92616,2015-01-07,0,3.1
92617,2015-01-07,0,2.6
92618,2015-01-07,1,3.2
92619,2015-01-07,0,1.7
92620,2015-01-07,0,4.3
92621,2015-01-07,0,4.6
92622,2015-01-07,0,2.2
92623,2015-01-07,1,12.7
92624,2015-01-07,0,4.2
92625,2015-01-07,0,4.3
92626,2015-01-07,1,3.1
92627,2015-01-07,1,3.0
92628,2015-01-07,0,5.9
92629,2015-01-07,1,5.4
92630,2015-01-05,1,9.1
92631,2015-01-05,1,4.0
92632,2015-01-05,1,4.6
92633,2015-01-05,0,2.0
92634,2015-01-05,0,2.9
92635,2015-01-05,0,1.0
92636,2015-01-05,1,2.0
92637,2015-01-05,0,1.1
92638,2015-01-05,0,0.6
92639,2015-01-05,1,4.1
92640,2015-01-05,1,4.8
