,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region
27,Pennsylvania State University (PSU),Party,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0,Northeastern
28,Arizona State University (ASU),Party,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0,Western
29,"Indiana University (IU), Bloomington",Party,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0,Midwestern
30,University of Iowa (UI),Party,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0,Midwestern
31,Randolph-Macon College,Party,42600.0,83600.0,,54100.0,123000.0,,Southern
32,"University of Alabama, Tuscaloosa",Party,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0,Southern
33,University of Mississippi,Party,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0,Southern
34,University of New Hampshire (UNH),Party,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0,Northeastern
35,West Virginia University (WVU),Party,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0,Southern
36,University of Tennessee,Party,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0,Southern
37,Ohio University,Party,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0,Midwestern
38,Florida State University (FSU),Party,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0,Southern
39,Bucknell University,Liberal Arts,54100.0,110000.0,62800.0,80600.0,156000.0,251000.0,Northeastern
40,Colgate University,Liberal Arts,52800.0,108000.0,60000.0,76700.0,167000.0,265000.0,Northeastern
41,Amherst College,Liberal Arts,54500.0,107000.0,,84900.0,162000.0,,Northeastern
42,Lafayette College,Liberal Arts,53900.0,107000.0,70600.0,79300.0,144000.0,204000.0,Northeastern
43,Bowdoin College,Liberal Arts,48100.0,107000.0,,74600.0,146000.0,,Northeastern
44,College of the Holy Cross,Liberal Arts,50200.0,106000.0,,65600.0,143000.0,,Northeastern
45,Occidental College,Liberal Arts,51900.0,105000.0,,54800.0,157000.0,,California
46,Washington and Lee University,Liberal Arts,53600.0,104000.0,,82800.0,146000.0,,Southern
47,Swarthmore College,Liberal Arts,49700.0,104000.0,,67200.0,167000.0,,Northeastern
48,Davidson College,Liberal Arts,46100.0,104000.0,,70500.0,146000.0,,Southern
49,Carleton College,Liberal Arts,47500.0,103000.0,,69400.0,141000.0,,Midwestern
50,Williams College,Liberal Arts,51700.0,102000.0,,76400.0,143000.0,,Northeastern
51,Pomona College,Liberal Arts,48600.0,101000.0,,63300.0,161000.0,,California
52,"Wesleyan University (Middletown, Connecticut)",Liberal Arts,46500.0,97900.0,42000.0,62500.0,126000.0,215000.0,Northeastern
53,Bates College,Liberal Arts,47300.0,96500.0,,60700.0,162000.0,,Northeastern
54,Union College,Liberal Arts,47200.0,95800.0,48700.0,75200.0,135000.0,230000.0,Northeastern
55,University of Richmond,Liberal Arts,48600.0,94600.0,44500.0,59400.0,151000.0,211000.0,Southern
56,Vassar College,Liberal Arts,46000.0,94600.0,,60600.0,123000.0,,Northeastern
57,Middlebury College,Liberal Arts,47700.0,94200.0,,69100.0,129000.0,,Northeastern
58,Mount Holyoke College,Liberal Arts,42400.0,94100.0,,57100.0,131000.0,,Northeastern
59,Franklin and Marshall College,Liberal Arts,49100.0,92800.0,,55800.0,185000.0,,Northeastern
60,DePauw University,Liberal Arts,41400.0,88300.0,49500.0,57400.0,133000.0,185000.0,Midwestern
61,St. Olaf College,Liberal Arts,45300.0,86200.0,41300.0,61000.0,120000.0,185000.0,Midwestern
62,Colby College,Liberal Arts,46400.0,85800.0,,63500.0,129000.0,,Northeastern
63,Gettysburg College,Liberal Arts,44700.0,85800.0,,66300.0,132000.0,,Northeastern
64,Siena College,Liberal Arts,45500.0,85200.0,38700.0,58400.0,129000.0,189000.0,Northeastern
65,Smith College,Liberal Arts,44000.0,83900.0,45100.0,59800.0,129000.0,184000.0,Northeastern
66,Hamilton College,Liberal Arts,49200.0,83700.0,,51900.0,123000.0,,Northeastern
67,Randolph-Macon College,Liberal Arts,42600.0,83600.0,,54100.0,123000.0,,Southern
68,Wellesley College,Liberal Arts,42800.0,83500.0,,58600.0,125000.0,,Northeastern
69,Denison University,Liberal Arts,42000.0,83500.0,,62100.0,122000.0,,Midwestern
70,Oberlin College,Liberal Arts,43400.0,81600.0,,46400.0,128000.0,,Midwestern
71,University of Puget Sound,Liberal Arts,46600.0,81500.0,48900.0,60100.0,104000.0,137000.0,Western
72,Colorado College (CC),Liberal Arts,38500.0,81400.0,,43000.0,148000.0,,Western
73,Reed College,Liberal Arts,40500.0,81100.0,,67400.0,101000.0,,Western
74,Gustavus Adolphus College,Liberal Arts,44500.0,80600.0,,49300.0,101000.0,,Midwestern
75,Whitman College,Liberal Arts,43500.0,80100.0,,64800.0,111000.0,,Western
76,Ursinus College,Liberal Arts,42100.0,80000.0,35600.0,54300.0,100000.0,160000.0,Northeastern
77,Juniata College,Liberal Arts,41800.0,78900.0,,67200.0,110000.0,,Northeastern
78,Wittenberg University,Liberal Arts,39200.0,78200.0,,54100.0,131000.0,,Midwestern
79,Grinnell College,Liberal Arts,42600.0,76600.0,,65100.0,116000.0,,Midwestern
80,Skidmore College,Liberal Arts,41600.0,74600.0,,42800.0,147000.0,,Northeastern
81,Moravian College,Liberal Arts,42500.0,74400.0,,56700.0,94900.0,,Northeastern
82,Lewis & Clark College,Liberal Arts,38900.0,72600.0,38200.0,53400.0,104000.0,140000.0,Western
83,Fort Lewis College,Liberal Arts,42000.0,69800.0,,55000.0,94000.0,,Western
84,Thomas Aquinas College,Liberal Arts,41500.0,67500.0,,44600.0,93100.0,,California
85,Evergreen State College,Liberal Arts,39500.0,63900.0,38800.0,47200.0,91600.0,120000.0,Western
86,Dartmouth College,Ivy League,58000.0,134000.0,63100.0,90200.0,234000.0,321000.0,Northeastern
87,Princeton University,Ivy League,66500.0,131000.0,68900.0,100000.0,190000.0,261000.0,Northeastern
88,Yale University,Ivy League,59100.0,126000.0,58000.0,80600.0,198000.0,326000.0,Northeastern
89,Harvard University,Ivy League,63400.0,124000.0,54800.0,86200.0,179000.0,288000.0,Northeastern
90,University of Pennsylvania,Ivy League,60900.0,120000.0,55900.0,79200.0,192000.0,282000.0,Northeastern
91,Cornell University,Ivy League,60300.0,110000.0,56800.0,79800.0,160000.0,210000.0,Northeastern
